bairro_normalizado,total_empresas,top_3_atividades,microrregiao,grau,centralidade_grau,centralidade_closeness,centralidade_betweenness,cluster_conectividade,top_20_percent
Aflitos,675,"[{'atividade': 'SAUDE', 'quantidade': 109}, {'atividade': 'EDUCACAO', 'quantidade': 83}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 59}]",3.1,3,0.03225806451612903,0.23785166240409208,0.2905027932960894,54,False
Afogados,1771,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 373}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 192}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 145}]",5.1,10,0.10752688172043011,0.25,0.39664804469273746,31,True
Agua Fria,518,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 238}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 26}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 24}]",2.2,0,0.0,0.0,0.0,-1,False
Alto Do Mandu,105,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 45}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 10}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 8}]",3.1,0,0.0,0.0,0.0,-1,False
Alto Jose Bonifacio,59,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 24}, {'atividade': 'TRANSPORTE E COMUNICACAO', 'quantidade': 5}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 5}]",3.2,0,0.0,0.0,0.0,-1,False
Alto Jose Do Pinho,108,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 46}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 12}, {'atividade': 'EDUCACAO', 'quantidade': 11}]",3.2,0,0.0,0.0,0.0,-1,False
Alto Santa Teresinha,20,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 8}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 3}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 2}]",2.2,5,0.053763440860215055,0.19745222929936307,0.19553072625698323,47,False
Apipucos,78,"[{'atividade': 'TRANSPORTE E COMUNICACAO', 'quantidade': 17}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 15}, {'atividade': 'OUTROS SERVICOS', 'quantidade': 9}]",3.1,6,0.06451612903225806,0.23308270676691728,0.45251396648044695,23,False
Areias,606,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 141}, {'atividade': 'EDUCACAO', 'quantidade': 47}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 42}]",5.2,7,0.07526881720430108,0.20217391304347826,0.7932960893854749,33,True
Arruda,337,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 70}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 32}, {'atividade': 'REPRESENTACAO, AGENCIAMENTO, CORRETAGEM', 'quantidade': 30}]",2.1,9,0.0967741935483871,0.25203252032520324,0.11731843575418995,60,True
Barro,298,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 65}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 34}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 30}]",5.3,4,0.043010752688172046,0.1921487603305785,1.0,43,False
Beberibe,154,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 67}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 13}, {'atividade': 'EDUCACAO', 'quantidade': 9}]",2.2 / 2.3,4,0.043010752688172046,0.19294605809128632,0.2737430167597765,36,False
Boa Viagem,14239,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 2445}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 1526}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 1221}]",6.1,4,0.043010752688172046,0.1882591093117409,0.12290502793296089,66,False
Boa Vista,5145,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 827}, {'atividade': 'SAUDE', 'quantidade': 555}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 418}]",1.2,9,0.0967741935483871,0.2605042016806723,0.8268156424581006,18,True
Bomba Do Hemeterio,138,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 67}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 9}, {'atividade': 'EDUCACAO', 'quantidade': 7}]",2.2,0,0.0,0.0,0.0,-1,False
Bongi,161,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 40}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 21}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 17}]",5.1,4,0.043010752688172046,0.2366412213740458,0.2346368715083799,2,False
Brasilia Teimosa,178,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 80}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 12}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 12}]",6.1,0,0.0,0.0,0.0,-1,False
Brejo Da Guabiraba,78,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 30}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 12}, {'atividade': 'TRANSPORTE E COMUNICACAO', 'quantidade': 9}]",3.3,0,0.0,0.0,0.0,-1,False
Brejo De Beberibe,87,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 57}, {'atividade': 'EDUCACAO', 'quantidade': 5}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 4}]",3.3,0,0.0,0.0,0.0,-1,False
Cabanga,168,"[{'atividade': 'SERVICOS DE INFORMATICA', 'quantidade': 22}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 18}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 13}]",1.2,3,0.03225806451612903,0.21478060046189376,0.46368715083798884,24,False
Cacote,59,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 33}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 4}, {'atividade': 'SUPERMERCADOS E LOJAS DE DEPARTAMENTOS', 'quantidade': 3}]",5.2,0,0.0,0.0,0.0,-1,False
Cajueiro,113,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 26}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 12}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 9}]",2.2,3,0.03225806451612903,0.17680608365019013,0.0,45,False
Campina Do Barreto,71,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 27}, {'atividade': 'EDUCACAO', 'quantidade': 9}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 8}]",2.1,0,0.0,0.0,0.0,-1,False
Campo Grande,796,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 149}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 89}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 59}]",2.1,7,0.07526881720430108,0.2473404255319149,0.48044692737430167,19,True
Casa Amarela,1827,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 435}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 201}, {'atividade': 'SAUDE', 'quantidade': 151}]",3.1,11,0.11827956989247312,0.25833333333333336,0.6145251396648045,3,True
Casa Forte,1230,"[{'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 153}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 129}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 114}]",3.1,4,0.043010752688172046,0.23366834170854273,0.16759776536312848,5,False
Caxanga,184,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 33}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 16}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 16}]",4.3,0,0.0,0.0,0.0,-1,False
Cidade Universitaria,66,"[{'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 43}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 4}, {'atividade': 'EDUCACAO', 'quantidade': 4}]",4.3,0,0.0,0.0,0.0,-1,False
Coelhos,428,"[{'atividade': 'SAUDE', 'quantidade': 76}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 70}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 36}]",1.3,3,0.03225806451612903,0.2198581560283688,0.2681564245810056,51,False
Cohab,418,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 164}, {'atividade': 'EDUCACAO', 'quantidade': 41}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 28}]",6.3,2,0.021505376344086023,0.1706422018348624,0.01675977653631285,68,False
