microrregiao,total_empresas,top_3_atividades
1.1,6171,"[{'atividade': 'SERVICOS DE INFORMATICA', 'quantidade': 1033}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 808}, {'atividade': 'EDUCACAO', 'quantidade': 462}]"
1.2,12098,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 2497}, {'atividade': 'SAUDE', 'quantidade': 1143}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 914}]"
1.3,452,"[{'atividade': 'SAUDE', 'quantidade': 76}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 71}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 44}]"
2.1,3871,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 596}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 428}, {'atividade': 'EDUCACAO', 'quantidade': 292}]"
2.2,966,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 412}, {'atividade': 'EDUCACAO', 'quantidade': 51}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 48}]"
2.2 / 2.3,372,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 138}, {'atividade': 'EDUCACAO', 'quantidade': 36}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 30}]"
3.1,15624,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 2358}, {'atividade': 'SAUDE', 'quantidade': 1684}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 1484}]"
3.2,547,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 201}, {'atividade': 'EDUCACAO', 'quantidade': 47}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 42}]"
3.3,696,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 281}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 70}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 48}]"
4.1,6799,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 1243}, {'atividade': 'EDUCACAO', 'quantidade': 523}, {'atividade': 'OUTROS SERVICOS', 'quantidade': 503}]"
4.2,469,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 125}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 50}, {'atividade': 'EDUCACAO', 'quantidade': 29}]"
4.3,1891,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 351}, {'atividade': 'TRANSPORTE E COMUNICACAO', 'quantidade': 190}, {'atividade': 'EDUCACAO', 'quantidade': 140}]"
5.1,2774,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 667}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 274}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 207}]"
5.2,1234,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 339}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 122}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 80}]"
5.3,2431,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 785}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 366}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 153}]"
6.1,27063,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 4197}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 2707}, {'atividade': 'OUTROS SERVICOS', 'quantidade': 2101}]"
6.2,1360,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 375}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 147}, {'atividade': 'TRANSPORTE E COMUNICACAO', 'quantidade': 130}]"
6.3,418,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 164}, {'atividade': 'EDUCACAO', 'quantidade': 41}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 28}]"
