Bairro,unidades,medicos totais,população,Médico por U.S.,Proporção médico população,Indice OCDE,Médicos por Unidade de Saúde,Proporção Médico por População,Índice OCDE
AFLITOS,2,7,4990,3.5,0.001402805611,0.4008016032,3.5,0.001403,0.4008
AFOGADOS,11,52,31457,4.727272727,0.001653050196,0.4723000559,4.73,0.001653,0.4723
AGUA FRIA,1,4,39012,4.0,0.0001025325541,0.02929501545,4.0,0.000103,0.0293
ALTO DO MANDU,6,31,4221,5.166666667,0.007344231225,2.098351779,5.17,0.007344,2.0984
ALTO JOSE BONIFACIO,3,25,10365,8.333333333,0.002411963338,0.6891323823,8.33,0.002412,0.6891
ALTO JOSE DO PINHO,2,25,11313,12.5,0.002209847079,0.6313848796,12.5,0.00221,0.6314
ALTO SANTA TEREZINHA,2,15,6620,7.5,0.002265861027,0.6473888649,7.5,0.002266,0.6474
APIPUCOS,2,12,2523,6.0,0.004756242568,1.358926448,6.0,0.004756,1.3589
AREIAS,7,52,26740,7.428571429,0.001944652206,0.5556149161,7.43,0.001945,0.5556
ARRUDA,3,18,12797,6.0,0.001406579667,0.4018799049,6.0,0.001407,0.4019
BARRO,3,14,30565,4.666666667,0.0004580402421,0.1308686406,4.67,0.000458,0.1309
BEBERIBE,5,25,7089,5.0,0.003526590492,1.007597284,5.0,0.003527,1.0076
BOA VIAGEM,15,62,125805,4.133333333,0.0004928261993,0.1408074855,4.13,0.000493,0.1408
BOA VISTA,5,19,13147,3.8,0.001445196623,0.4129133208,3.8,0.001445,0.4129
BOMBA DO HEMETERIO,3,22,7728,7.333333333,0.00284679089,0.8133688258,7.33,0.002847,0.8134
BONGI,5,32,7060,6.4,0.004532577904,1.295022258,6.4,0.004533,1.295
BRASILIA TEIMOSA,3,17,16685,5.666666667,0.001018879233,0.2911083522,5.67,0.001019,0.2911
BREJO DA GUABIRABA,3,16,10620,5.333333333,0.001506591337,0.4304546677,5.33,0.001507,0.4305
BREJO DE BEBERIBE,4,28,7738,7.0,0.003618506074,1.033858878,7.0,0.003619,1.0339
CABANGA,3,24,1831,8.0,0.01310759148,3.745026137,8.0,0.013108,3.745
CACOTE,2,14,8738,7.0,0.001602197299,0.4577706569,7.0,0.001602,0.4578
CAJUEIRO,3,18,5062,6.0,0.003555906756,1.015973359,6.0,0.003556,1.016
CAMPINA DO BARRETO,2,9,8757,4.5,0.001027749229,0.2936426369,4.5,0.001028,0.2936
CAMPO GRANDE,2,14,31783,7.0,0.0004404870528,0.1258534437,7.0,0.00044,0.1259
CASA AMARELA,4,31,32450,7.75,0.0009553158706,0.2729473916,7.75,0.000955,0.2729
CASA FORTE,1,2,6307,2.0,0.0003171079753,0.09060227865,2.0,0.000317,0.0906
CAXANGA,4,26,13813,6.5,0.001882284804,0.5377956583,6.5,0.001882,0.5378
CIDADE UNIVERSITARIA,3,15,1819,5.0,0.00824628917,2.35608262,5.0,0.008246,2.3561
COELHOS,5,19,5923,3.8,0.003207833868,0.9165239623,3.8,0.003208,0.9165
COHAB,9,37,62632,4.111111111,0.0005907523311,0.1687863803,4.11,0.000591,0.1688
COQUEIRAL,3,26,9427,8.666666667,0.00275803543,0.7880101229,8.67,0.002758,0.788
CORDEIRO,8,57,37660,7.125,0.00151354222,0.4324406342,7.12,0.001514,0.4324
CORREGO DO JENIPAPO,3,22,8086,7.333333333,0.002720751917,0.7773576905,7.33,0.002721,0.7774
CURADO,5,29,16559,5.8,0.001751313485,0.5003752815,5.8,0.001751,0.5004
DERBY,1,1,1867,1.0,0.0005356186395,0.153033897,1.0,0.000536,0.153
DOIS IRMAOS,3,23,3026,7.666666667,0.007600793126,2.171655179,7.67,0.007601,2.1717
