bairro_origem,bairro_destino,logradouro,peso
Alto José do Pinho,Mangabeira,Rua Aripibu,29.85
Madalena,Prado,Praca Na Rua Joao Crescencio,37.33
Encruzilhada,Espinheiro,Rua Conselheiro Portela,39.05
Afogados,Mustardinha,Rua Orlandia,39.93
Alto Santa Teresinha,Bomba do Hemetério,Rua Alto do Tiro,41.0
Afogados,Mustardinha,Rua Maria Jose De Lima,47.02
Campo Grande,Ponto de Parada,Rua Professor Jeronimo Gueiros,47.09
Brasília Teimosa,Pina,Rua Dentudo,51.9
Brasília Teimosa,Pina,Rua Copaiba,57.41
Casa Amarela,Monteiro,Rua Iguatama,57.87
Brejo de Beberibe,Passarinho,Avenida Presidente Cafe Filho,58.0
Casa Amarela,Monteiro,Rua Piracanjuba,58.05
Dois Unidos,Passarinho,Rua Vale Fundo,58.94
Macaxeira,Nova Descoberta,Rua Nage,62.85
Madalena,Prado,Rua Delfinopolis,65.76
Alto do Mandu,Monteiro,Rua Tramandai,66.33
Curado,Jardim São Paulo,Rua Raphael De Oliveira Alves,68.49
Alto José do Pinho,Bomba do Hemetério,Rua Campos Belos,69.54
Alto Santa Teresinha,Alto José Bonifácio,Rua Arlindo Cisneiros,72.0
Alto Santa Teresinha,Linha do Tiro,Rua Arlindo Cisneiros,72.0
Dois Unidos,Passarinho,Rua Doutor Antonio Da Rosa Borges,72.49
Ilha do Retiro,Ilha Joana Bezerra,Avenida Beira Rio,76.03
Água Fria,Bomba do Hemetério,Rua Turiuba,76.43
Cordeiro,Torrões,Rua Daniel Lisboa,81.91
Brejo da Guabiraba,Córrego do Jenipapo,Rua Assaituba,84.27
Água Fria,Bomba do Hemetério,Rua Aline,85.04
Afogados,Mustardinha,Rua Raimundo Jaco,86.96
Macaxeira,Nova Descoberta,Rua Carnaiba,88.88
Água Fria,Bomba do Hemetério,Rua Venus,89.31
Santo Amaro,Santo Antônio,Rua Princesa Isabel,91.36
Água Fria,Bomba do Hemetério,Rua Sao Jose Da Coroa Grande,93.24
Afogados,Mustardinha,Rua Guaiba,94.55
Santo Antônio,São José,Rua Do Porao,94.58
Macaxeira,Nova Descoberta,Rua S D 3014,95.17
Brejo de Beberibe,Dois Unidos,Rua Izaltino Lobo,95.66
Espinheiro,Graças,Rua Conselheiro Portela,100.77
Estância,Jiquiá,Rua Cassiano,102.45
Alto José do Pinho,Mangabeira,Rua Baguari,102.86
Casa Amarela,Monteiro,Rua Maraca,105.95
Cohab,Barro,Rua José Caetano,108.0
Cohab,Ibura,Rua José Caetano,108.0
Brejo de Beberibe,Nova Descoberta,Rua Urandi,108.15
Curado,Totó,Rua Garcia,108.58
Apipucos,Macaxeira,Rua Do Banho,109.77
Campo Grande,Ponto de Parada,Rua Petronila Botelho,112.79
Campo Grande,Hipódromo,Rua Padre Villemain,113.6
Brejo da Guabiraba,Passarinho,Avenida Presidente Cafe Filho,114.06
Alto Santa Teresinha,Alto José do Pinho,Rua Arlindo Cisneiros,115.0
Ibura,Jordão,Rua Boquira,115.52
Brejo de Beberibe,Dois Unidos,Rua Da Paz,115.81
Cidade Universitária,Várzea,Rua Barao De Mamore,116.77
Rosarinho,Tamarineira,Rua Capitao Sampaio Xavier,117.37
Curado,Totó,Rua Utinga,117.4
