bairro origem,bairro match
Aflitos,Encruzilhada
Aflitos,Espinheiro
Aflitos,Graças
Afogados,Bongi
Afogados,Cabanga
Afogados,Ilha Joana Bezerra
Afogados,Ilha do Retiro
Afogados,Imbiribeira
Afogados,Jiquiá
Afogados,Mangueira
Afogados,Mustardinha
Afogados,Pina
Afogados,Prado
Afogados,São José
Alto José Bonifácio,Alto José do Pinho
Alto José Bonifácio,Brejo de Beberibe
Alto José Bonifácio,Linha do Tiro
Alto José Bonifácio,Morro da Conceição
Alto José Bonifácio,Vasco da Gama
Alto José do Pinho,Bomba do Hemetério
Alto José do Pinho,Casa Amarela
Alto José do Pinho,Mangabeira
Alto José do Pinho,Morro da Conceição
Alto do Mandu,Apipucos
Alto do Mandu,Casa Amarela
Alto do Mandu,Macaxeira
Alto do Mandu,Monteiro
Alto do Mandu,Nova Descoberta
Apipucos,Caxangá
Apipucos,Córrego do Jenipapo
Apipucos,Dois Irmãos
Apipucos,Iputinga
Apipucos,Macaxeira
Apipucos,Monteiro
Areias,Barro
Areias,Caçote
Areias,Estância
Areias,Ibura
Areias,Imbiribeira
Areias,Ipsep
Areias,Jardim São Paulo
Areias,Jiquiá
Arruda,Bomba do Hemetério
Arruda,Campina do Barreto
Arruda,Campo Grande
Arruda,Mangabeira
Arruda,Peixinhos
Arruda,Ponto de Parada
Arruda,Rosarinho
Arruda,Tamarineira
Arruda,Água Fria
Barro,Ibura
Barro,Jardim São Paulo
Barro,Tejipió
Beberibe,Dois Unidos
Beberibe,Linha do Tiro
Beberibe,Porto da Madeira
Beberibe,Água Fria
Boa Viagem,Ibura
Boa Viagem,Imbiribeira
Boa Viagem,Jordão
Boa Viagem,Pina
Boa Vista,Coelhos
Boa Vista,Derby
Boa Vista,Espinheiro
Boa Vista,Graças
Boa Vista,Ilha do Leite
Boa Vista,Paissandu
Boa Vista,Santo Amaro
Boa Vista,Santo Antônio
Boa Vista,Soledade
Bomba do Hemetério,Mangabeira
Bomba do Hemetério,Água Fria
Bongi,Mustardinha
Bongi,Prado
Bongi,San Martin
Brasília Teimosa,Pina
Brasília Teimosa,Recife
Brasília Teimosa,São José
Brejo da Guabiraba,Brejo de Beberibe
Brejo da Guabiraba,Córrego do Jenipapo
Brejo da Guabiraba,Guabiraba
Brejo da Guabiraba,Nova Descoberta
Brejo da Guabiraba,Passarinho
Brejo de Beberibe,Dois Unidos
Brejo de Beberibe,Linha do Tiro
Brejo de Beberibe,Nova Descoberta
Brejo de Beberibe,Passarinho
Brejo de Beberibe,Vasco da Gama
Cabanga,Pina
Cabanga,São José
Cajueiro,Campina do Barreto
