origem,destino,tempo,linha,tipo_via,distancia_m,peso
estacao_327,estacao_57,4,L48,coletora,2500,4
estacao_114,estacao_71,95,L7,local,83505,95
estacao_456,estacao_279,12,L38,coletora,6192,12
estacao_15,estacao_47,28,L15,local,22624,28
estacao_13,estacao_287,26,L46,local,22334,26
estacao_279,estacao_214,29,L29,local,18618,29
estacao_414,estacao_445,1,L49,avenida,857,1
estacao_216,estacao_174,36,L10,avenida,35640,36
estacao_390,estacao_172,14,L6,coletora,7686,14
estacao_183,estacao_433,45,L39,coletora,41085,45
estacao_22,estacao_373,59,L35,avenida,58882,59
estacao_472,estacao_193,11,L36,coletora,10164,11
estacao_321,estacao_316,47,L37,avenida,40420,47
estacao_35,estacao_23,85,L15,coletora,45900,85
estacao_437,estacao_119,13,L25,coletora,9516,13
estacao_325,estacao_427,47,L11,coletora,32007,47
estacao_107,estacao_343,35,L45,local,29085,35
estacao_36,estacao_311,82,L11,local,71586,82
estacao_125,estacao_83,60,L25,coletora,58380,60
estacao_327,estacao_352,72,L15,local,47952,72
estacao_431,estacao_393,100,L4,avenida,92000,100
estacao_16,estacao_412,41,L26,coletora,21853,41
estacao_108,estacao_467,73,L46,coletora,44384,73
estacao_335,estacao_255,51,L42,coletora,29223,51
estacao_135,estacao_71,32,L48,local,24800,32
estacao_134,estacao_382,75,L28,local,52800,75
estacao_185,estacao_112,18,L33,coletora,9828,18
estacao_386,estacao_24,15,L10,local,8715,15
estacao_405,estacao_348,55,L39,avenida,38335,55
estacao_195,estacao_305,60,L34,coletora,59820,60
estacao_283,estacao_440,2,L44,local,1116,2
estacao_349,estacao_453,69,L49,coletora,61617,69
estacao_328,estacao_174,15,L19,coletora,8700,15
estacao_232,estacao_1,93,L47,coletora,92721,93
estacao_256,estacao_390,23,L33,avenida,21735,23
estacao_320,estacao_152,82,L33,local,49282,82
estacao_78,estacao_191,98,L11,local,96824,98
estacao_398,estacao_472,68,L1,local,45220,68
estacao_250,estacao_9,15,L24,coletora,9330,15
estacao_29,estacao_123,73,L6,avenida,63802,73
estacao_248,estacao_417,9,L49,local,8028,9
estacao_64,estacao_65,85,L31,local,49640,85
estacao_135,estacao_270,78,L28,avenida,76050,78
estacao_276,estacao_386,94,L45,avenida,81310,94
estacao_159,estacao_204,86,L42,coletora,62264,86
estacao_460,estacao_264,58,L8,avenida,35670,58
estacao_32,estacao_173,3,L38,local,1851,3
estacao_301,estacao_112,1,L5,local,823,1
estacao_30,estacao_117,9,L3,coletora,4824,9
estacao_263,estacao_121,36,L43,coletora,21924,36
estacao_276,estacao_67,93,L37,local,69006,93
estacao_124,estacao_401,61,L27,avenida,33428,61
estacao_49,estacao_337,56,L23,coletora,39760,56
estacao_239,estacao_442,94,L4,local,78396,94
estacao_330,estacao_50,8,L26,local,5384,8
estacao_409,estacao_441,14,L16,avenida,8358,14
estacao_274,estacao_229,18,L28,avenida,11556,18
estacao_236,estacao_127,10,L29,local,5500,10
estacao_25,estacao_333,70,L1,avenida,68180,70
estacao_385,estacao_434,31,L11,coletora,23188,31
estacao_246,estacao_109,52,L4,avenida,36088,52
estacao_1,estacao_199,34,L30,coletora,24344,34
estacao_356,estacao_490,94,L36,local,81498,94
estacao_249,estacao_79,25,L19,avenida,24875,25
estacao_29,estacao_296,95,L35,avenida,83790,95
estacao_160,estacao_29,7,L38,coletora,5299,7
estacao_470,estacao_436,68,L11,avenida,67388,68
estacao_260,estacao_41,24,L5,local,12816,24
estacao_345,estacao_441,31,L26,avenida,30442,31
