bairro_origem,bairro_destino,nome_logradouro,distancia
Areias,Barro,Avenida Desembargador Nestor Diógenes de Melo,
Engenho do Meio,Iputinga,Avenida Mucio Uchoa Cavalcante,
Afogados,Bongi,Estrada do Bongi,
Afogados,Prado,Estrada do Bongi,
Bongi,Prado,Estrada do Bongi,
Brasília Teimosa,Pina,Rua Bacia do Pina,
Brasília Teimosa,São José,Rua Bacia do Pina,
Cabanga,Pina,Rua Bacia do Pina,
Cabanga,São José,Rua Bacia do Pina,
Pina,São José,Rua Bacia do Pina,
Boa Viagem,Jordão,Rua Canal do Jordão,
Brasília Teimosa,Pina,Rua Comendador Moraes,
Beberibe,Dois Unidos,Rua Rio Morno,
Beberibe,Linha do Tiro,Rua Rio Morno,
Brejo da Guabiraba,Brejo de Beberibe,Rua Rio Morno,
Brejo da Guabiraba,Guabiraba,Rua Rio Morno,
Brejo da Guabiraba,Passarinho,Rua Rio Morno,
Brejo de Beberibe,Dois Unidos,Rua Rio Morno,
Brejo de Beberibe,Linha do Tiro,Rua Rio Morno,
Brejo de Beberibe,Passarinho,Rua Rio Morno,
Dois Unidos,Linha do Tiro,Rua Rio Morno,
Dois Unidos,Passarinho,Rua Rio Morno,
Guabiraba,Passarinho,Rua Rio Morno,
Madalena,Prado,Rua Virgínio Campello,
Derby,Ilha do Retiro,Avenida Beira Rio,0.0
Derby,Madalena,Avenida Beira Rio,0.0
Graças,Madalena,Avenida Beira Rio,0.0
Ilha do Retiro,Ilha Joana Bezerra,Avenida Beira Rio,0.0
Ilha do Retiro,Madalena,Avenida Beira Rio,0.0
Madalena,Torre,Avenida Beira Rio,0.0
Bongi,Mustardinha,Avenida Cônsul Vilares Fragoso,0.0
Mustardinha,San Martin,Avenida Cônsul Vilares Fragoso,0.0
Beberibe,Linha do Tiro,Avenida Hildebrando de Vasconcelos,0.0
Dois Unidos,Linha do Tiro,Avenida Hildebrando de Vasconcelos,0.0
Madalena,Prado,Praça na Rua João Crescêncio,0.0
Cidade Universitária,Várzea,Rua Acadêmico Hélio Ramos,0.0
Estância,Jardim São Paulo,Rua Alfredo Vieira de Melo,0.0
Água Fria,Bomba do Hemetério,Rua Aline,0.0
Estância,Jiquiá,Rua André Vieira de Melo,0.0
Cidade Universitária,Várzea,Rua Barão de Mamore,0.0
Boa Vista,Soledade,Rua Barão de São Borja,0.0
Caxangá,Várzea,Rua Belmino Correia,0.0
Madalena,Zumbi,Rua Caratinga,0.0
Prado,Zumbi,Rua Caratinga,0.0
Água Fria,Campina do Barreto,Rua Constança,0.0
Boa Vista,Santo Amaro,Rua da Aurora,0.0
Boa Vista,Santo Antônio,Rua da Aurora,0.0
Casa Amarela,Casa Forte,Rua da Harmonia,0.0
Casa Forte,Parnamirim,Rua da Harmonia,0.0
Apipucos,Macaxeira,Rua do Banho,0.0
Madalena,Zumbi,Rua Dom Manoel da Costa,0.0
Torre,Zumbi,Rua Dom Manoel da Costa,0.0
Arruda,Peixinhos,Rua Expedicionário Jamil Dagli,0.0
Campina do Barreto,Peixinhos,Rua Expedicionário Jamil Dagli,0.0
Curado,Jardim São Paulo,Rua Gastão de Carvalho,0.0
Cidade Universitária,Engenho do Meio,Rua General Vargas,0.0
Engenho do Meio,Iputinga,Rua General Vargas,0.0
Boa Vista,Soledade,Rua Gervásio Pires,0.0
Santo Amaro,Soledade,Rua Gervásio Pires,0.0
Cidade Universitária,Várzea,Rua Isaac Buril,0.0
Madalena,Torre,Rua Padre Anchieta,0.0
Água Fria,Bomba do Hemetério,Rua Riolândia,0.0
Água Fria,Arruda,Rua São Bento,0.0
Brejo de Beberibe,Nova Descoberta,Rua Urandi,0.0
Dois Unidos,Passarinho,Rua Vale Fundo,0.0
Água Fria,Bomba do Hemetério,Rua Vênus,0.0
Beberibe,Linha do Tiro,Avenida Aníbal Benévolo,707.66
Beberibe,Porto da Madeira,Avenida Aníbal Benévolo,429.44
Fundão,Porto da Madeira,Avenida Aníbal Benévolo,287.89
Água Fria,Beberibe,Avenida Aníbal Benévolo,1337.76
Água Fria,Fundão,Avenida Aníbal Benévolo,1196.21
Água Fria,Linha do Tiro,Avenida Aníbal Benévolo,1475.7
Água Fria,Porto da Madeira,Avenida Aníbal Benévolo,1197.48
Arruda,Ponto de Parada,Avenida Beberibe,913.85
Beberibe,Porto da Madeira,Avenida Beberibe,3164.23
Cajueiro,Fundão,Avenida Beberibe,1569.11
Cajueiro,Porto da Madeira,Avenida Beberibe,1943.89
Encruzilhada,Ponto de Parada,Avenida Beberibe,1045.45
Fundão,Porto da Madeira,Avenida Beberibe,2873.64
Água Fria,Arruda,Avenida Beberibe,1529.92
Água Fria,Beberibe,Avenida Beberibe,2528.07
Água Fria,Fundão,Avenida Beberibe,2237.49
Água Fria,Porto da Madeira,Avenida Beberibe,2612.27
Derby,Graças,Avenida Beira Rio,1227.41
Graças,Torre,Avenida Beira Rio,1240.84
Santana,Torre,Avenida Beira Rio,384.28
Boa Viagem,Pina,Avenida Boa Viagem,8497.01
Cordeiro,Iputinga,Avenida Camarão,428.68
Brejo de Beberibe,Passarinho,Avenida Canaã,920.81
Areias,Caçote,Avenida Capitão Gregório de Caldas,787.0
Caxangá,Iputinga,Avenida Caxangá,6319.87
Caxangá,Várzea,Avenida Caxangá,3470.48
Cordeiro,Iputinga,Avenida Caxangá,6893.67
Cordeiro,Zumbi,Avenida Caxangá,4159.77
Iputinga,Várzea,Avenida Caxangá,4646.25
Madalena,Zumbi,Avenida Caxangá,2986.82
Ibura,Jordão,Avenida Centenário Alberto Santos Dumont,902.41
Afogados,Ilha Joana Bezerra,Avenida Central,4928.92
Afogados,Jiquiá,Avenida Central,3933.53
Afogados,Mangueira,Avenida Central,3773.57
Afogados,São José,Avenida Central,5462.47
Areias,Barro,Avenida Central,1864.63
Areias,Estância,Avenida Central,1190.36
Areias,Jardim São Paulo,Avenida Central,2039.99
Areias,Jiquiá,Avenida Central,862.25
Barro,Jardim São Paulo,Avenida Central,3320.07
Barro,Tejipió,Avenida Central,3593.12
Coqueiral,Tejipió,Avenida Central,2529.99
Curado,Jardim São Paulo,Avenida Central,2696.53
Curado,Tejipió,Avenida Central,2969.58
Curado,Várzea,Avenida Central,3038.63
Estância,Jardim São Paulo,Avenida Central,2645.81
Estância,Jiquiá,Avenida Central,1468.07
Ilha Joana Bezerra,São José,Avenida Central,3664.29
Jardim São Paulo,Jiquiá,Avenida Central,2317.7
Jardim São Paulo,Tejipió,Avenida Central,3768.49
Jiquiá,Mangueira,Avenida Central,980.0
Dois Unidos,Passarinho,Avenida Chagas Ferreira,3538.5
Boa Vista,Soledade,Avenida Conde da Boa Vista,3392.26
Boa Viagem,Pina,Avenida Conselheiro Aguiar,5133.6
Aflitos,Espinheiro,Avenida Conselheiro Rosa e Silva,263.32
Aflitos,Graças,Avenida Conselheiro Rosa e Silva,1698.13
Espinheiro,Graças,Avenida Conselheiro Rosa e Silva,1583.34
Graças,Jaqueira,Avenida Conselheiro Rosa e Silva,1522.41
Graças,Tamarineira,Avenida Conselheiro Rosa e Silva,1966.9
Jaqueira,Tamarineira,Avenida Conselheiro Rosa e Silva,471.16
Bongi,San Martin,Avenida Cônsul Vilares Fragoso,743.82
Campo Grande,Peixinhos,Avenida Correia de Brito,1553.3
Apipucos,Caxangá,Avenida da Recuperação,2015.43
