bairro_origem,bairro_destino,nome_logradouro
Aflitos,Encruzilhada,AV SANTOS DUMONT
Aflitos,Encruzilhada,RUA CARNEIRO VILELA
Aflitos,Encruzilhada,RUA CONS PORTELA
Aflitos,Encruzilhada,RUA QUARENTA E OITO
Aflitos,Encruzilhada,RUA SAMUEL CAMPELO
Aflitos,Encruzilhada,RUA TELES JUNIOR
Aflitos,Espinheiro,AV CONSELHEIRO ROSA E SILVA
Aflitos,Espinheiro,RUA CONS PORTELA
Aflitos,Espinheiro,RUA QUARENTA E OITO
Aflitos,Graças,AV CONSELHEIRO ROSA E SILVA
Aflitos,Graças,AV SANTOS DUMONT
Aflitos,Graças,RUA CONS PORTELA
Aflitos,Graças,RUA TELES JUNIOR
Afogados,Bongi,EST DO BONGI
Afogados,Bongi,RUA MARIA JOSE DE LIMA
Afogados,Bongi,RUA PADRE TEOFILO TWORZ
Afogados,Bongi,RUA PROFESSOR CELESTIN MALZAC
Afogados,Bongi,RUA SANTA EDWIRGES
Afogados,Cabanga,AV SUL GOV. CID SAMPAIO
Afogados,Cabanga,RUA PINA-RIO
Afogados,Ilha Joana Bezerra,AV CENTRAL
Afogados,Ilha Joana Bezerra,RUA CAPIBARIBE-RIO
Afogados,Ilha do Retiro,EST DOS REMEDIOS
Afogados,Ilha do Retiro,RUA CAPIBARIBE-RIO
Afogados,Ilha do Retiro,RUA PADRE TEOFILO TWORZ
Afogados,Imbiribeira,AV SUL GOV. CID SAMPAIO
Afogados,Imbiribeira,RUA TEJIPIO-RIO
Afogados,Jiquiá,AV CENTRAL
Afogados,Jiquiá,RUA BOM JARDIM
Afogados,Jiquiá,RUA JIQUIA-RIO
Afogados,Jiquiá,RUA SAO MIGUEL
Afogados,Jiquiá,RUA TEJIPIO-RIO
Afogados,Mangueira,AV CENTRAL
Afogados,Mangueira,RUA ALEXANDRE RODRIGUES FERREIRA
Afogados,Mangueira,RUA BOM JARDIM
Afogados,Mangueira,RUA JOAO LEITE
Afogados,Mangueira,RUA LUIZ FIGUEIROA
Afogados,Mangueira,RUA VEREADOR FRANCISCO DE PAULA SANTANA
Afogados,Mangueira,RUA VINTE E UM DE ABRIL
Afogados,Mustardinha,AV MUSTARDINHA
Afogados,Mustardinha,RUA ADOLFO BEZERRA
Afogados,Mustardinha,RUA APUCARANA
Afogados,Mustardinha,RUA CAPITAO ADOLFO TAQUIS
Afogados,Mustardinha,RUA CARLOPOLIS
Afogados,Mustardinha,RUA DES MEDEIROS CORREIA
Afogados,Mustardinha,RUA ERNESTO CAVALCANTI
Afogados,Mustardinha,RUA GUAIBA
Afogados,Mustardinha,RUA MARIA JOSE DE LIMA
Afogados,Mustardinha,RUA MARIO LIBANIO
Afogados,Mustardinha,RUA ORLANDIA
Afogados,Mustardinha,RUA RAIMUNDO JACO
Afogados,Mustardinha,RUA UBERABA
Afogados,Mustardinha,RUA VINTE E UM DE ABRIL
Afogados,Pina,RUA PINA-RIO
Afogados,Prado,EST DO BONGI
Afogados,Prado,RUA PADRE TEOFILO TWORZ
Afogados,Prado,RUA SANTA EDWIRGES
Afogados,São José,AV CENTRAL
Afogados,São José,AV SUL GOV. CID SAMPAIO
Afogados,São José,RUA CAPIBARIBE-RIO
Alto José Bonifácio,Alto José do Pinho,COR DO BARTOLOMEU
Alto José Bonifácio,Alto José do Pinho,RUA CORREGO JOSE GRANDE
Alto José Bonifácio,Alto José do Pinho,RUA PADRE OLIVEIRA
Alto José Bonifácio,Brejo de Beberibe,RUA URIEL DE HOLANDA
Alto José Bonifácio,Linha do Tiro,RUA ALTO DA SERRINHA
Alto José Bonifácio,Linha do Tiro,RUA BISMARCK DE FREITAS
Alto José Bonifácio,Linha do Tiro,RUA GUSTAVO BARROZO
Alto José Bonifácio,Linha do Tiro,RUA URIEL DE HOLANDA
Alto José Bonifácio,Morro da Conceição,COR DO BARTOLOMEU
Alto José Bonifácio,Morro da Conceição,RUA CORREGO DO EUCLIDES
Alto José Bonifácio,Morro da Conceição,RUA CORREGO DO OURO
Alto José Bonifácio,Vasco da Gama,RUA ALCANTARA MACHADO
Alto José Bonifácio,Vasco da Gama,RUA ALTO DO BAMBUI
Alto José Bonifácio,Vasco da Gama,RUA ALTO NOSSA SENHORA DE FATIMA
Alto José Bonifácio,Vasco da Gama,RUA ARATUBA
Alto José Bonifácio,Vasco da Gama,RUA ARY PETER
Alto José Bonifácio,Vasco da Gama,RUA BAULANADIA
Alto José Bonifácio,Vasco da Gama,RUA CORREGO DO OURO
Alto José Bonifácio,Vasco da Gama,RUA ENGENHO PAROL
Alto José Bonifácio,Vasco da Gama,TRV DO SABINO
Alto José do Pinho,Bomba do Hemetério,1TR ARLINDO CISNEIRO
Alto José do Pinho,Bomba do Hemetério,RUA ARLINDO CISNEIRO
Alto José do Pinho,Bomba do Hemetério,RUA CAMPOS BELOS
Alto José do Pinho,Bomba do Hemetério,RUA DES HERACLITO CAVALCANTI
Alto José do Pinho,Casa Amarela,AV NORTE MIGUEL ARRAES DE ALENCAR
Alto José do Pinho,Mangabeira,AV NORTE MIGUEL ARRAES DE ALENCAR
Alto José do Pinho,Mangabeira,RUA 2TR CHA DE ALEGRIA
Alto José do Pinho,Mangabeira,RUA ARIPIBU
Alto José do Pinho,Mangabeira,RUA AVENCA
Alto José do Pinho,Mangabeira,RUA BAGUARI
Alto José do Pinho,Mangabeira,RUA BARRA VERDE
Alto José do Pinho,Mangabeira,RUA DA MANGABEIRA
Alto José do Pinho,Mangabeira,RUA DES HERACLITO CAVALCANTI
Alto José do Pinho,Mangabeira,RUA DO RIO
Alto José do Pinho,Mangabeira,RUA LAGE DE UNA
Alto José do Pinho,Mangabeira,RUA MONTE HOREB
Alto José do Pinho,Mangabeira,RUA SEVERINO BERNARDINO PEREIRA
Alto José do Pinho,Morro da Conceição,AV NORTE MIGUEL ARRAES DE ALENCAR
Alto José do Pinho,Morro da Conceição,COR DO BARTOLOMEU
Alto do Mandu,Apipucos,AV NORTE MIGUEL ARRAES DE ALENCAR
Alto do Mandu,Apipucos,RUA MANDACARU
Alto do Mandu,Apipucos,RUA MASSARANDUBA
Alto do Mandu,Casa Amarela,AV DR EURICO CHAVES
Alto do Mandu,Casa Amarela,AV NORTE MIGUEL ARRAES DE ALENCAR
Alto do Mandu,Macaxeira,AV NORTE MIGUEL ARRAES DE ALENCAR
Alto do Mandu,Macaxeira,RUA AROEIRA
Alto do Mandu,Macaxeira,RUA MASSARANDUBA
Alto do Mandu,Monteiro,AV DR EURICO CHAVES
Alto do Mandu,Monteiro,RUA MANDACARU
Alto do Mandu,Monteiro,RUA QUATRO DE MARCO
Alto do Mandu,Monteiro,RUA SIRIJI
Alto do Mandu,Monteiro,RUA TRAMANDAI
Alto do Mandu,Nova Descoberta,AV NORTE MIGUEL ARRAES DE ALENCAR
Apipucos,Caxangá,AV DA RECUPERACAO
Apipucos,Caxangá,RUA CAPIBARIBE-RIO
Apipucos,Córrego do Jenipapo,AV DA RECUPERACAO
Apipucos,Córrego do Jenipapo,AV NORTE MIGUEL ARRAES DE ALENCAR
Apipucos,Córrego do Jenipapo,ROD BR CENTO E UM
Apipucos,Dois Irmãos,AV DA RECUPERACAO
Apipucos,Dois Irmãos,ENT COMPLEXO DA MACAXEIRA
Apipucos,Dois Irmãos,ENT DA BR101 - AV NORTE
Apipucos,Dois Irmãos,ROD BR CENTO E UM
Apipucos,Dois Irmãos,RUA DOIS IRMAOS
Apipucos,Iputinga,ROD BR CENTO E UM
Apipucos,Iputinga,RUA CAPIBARIBE-RIO
Apipucos,Macaxeira,AV NORTE MIGUEL ARRAES DE ALENCAR
Apipucos,Macaxeira,RUA CORONEL JOAO BATISTA DO REGO BARROS
Apipucos,Macaxeira,RUA CORRENTEZA
Apipucos,Macaxeira,RUA DO BANHO
Apipucos,Macaxeira,RUA DOLCINOPOLIS
Apipucos,Macaxeira,RUA DOLORES SALGADO
Apipucos,Macaxeira,RUA DR ANAURO DORNELLAS CAMARA
Apipucos,Macaxeira,RUA MASSARANDUBA
Apipucos,Monteiro,RUA CAPIBARIBE-RIO
Apipucos,Monteiro,RUA DE APIPUCOS
Apipucos,Monteiro,RUA MANDACARU
Areias,Barro,AV CENTRAL
Areias,Barro,AV DES NESTOR DIOGENES DE MELLO
Areias,Barro,AV DR JOSE RUFINO
Areias,Barro,RUA ARMANDO SALES DE OLIVEIRA
Areias,Barro,RUA CORONEL LAMENHA
Areias,Barro,RUA DR VILAS BOAS
Areias,Barro,RUA JOSE NATARIO
Areias,Barro,RUA TEJIPIO-RIO
Areias,Caçote,AV CAPITAO GREGORIO DE CALDAS
Areias,Caçote,AV RECIFE
