bairro,grau
Aflitos,3
Afogados,10
Alto José Bonifácio,6
Alto José do Pinho,6
Alto Santa Teresinha,5
Alto do Mandu,5
Apipucos,6
Areias,7
Arruda,9
Barro,4
Beberibe,4
Boa Viagem,4
Boa Vista,9
Bomba do Hemetério,5
Bongi,4
Brasília Teimosa,1
Brejo da Guabiraba,5
Brejo de Beberibe,7
Cabanga,3
Cajueiro,3
Campina do Barreto,5
Campo Grande,7
Casa Amarela,11
Casa Forte,4
Caxangá,4
Caçote,3
Cidade Universitária,4
Coelhos,3
Cohab,2
Coqueiral,3
Cordeiro,7
Curado,9
Córrego do Jenipapo,6
Derby,5
Dois Irmãos,5
Dois Unidos,4
Encruzilhada,8
Engenho do Meio,5
Espinheiro,6
Estância,4
Fundão,4
Graças,10
Guabiraba,5
Hipódromo,3
Ibura,7
Ilha Joana Bezerra,3
Ilha do Leite,3
Ilha do Retiro,5
Imbiribeira,5
Ipsep,4
Iputinga,5
Jaqueira,4
Jardim São Paulo,7
Jiquiá,6
Jordão,2
Linha do Tiro,6
Macaxeira,4
Madalena,6
Mangabeira,5
Mangueira,4
Monteiro,4
Morro da Conceição,4
Mustardinha,4
Nova Descoberta,7
Paissandu,3
Parnamirim,5
Passarinho,4
Pau-ferro,1
Peixinhos,3
Pina,5
Ponto de Parada,5
Porto da Madeira,4
Poço,4
Prado,7
Recife,3
Rosarinho,5
San Martin,10
Sancho,4
Santana,5
Santo Amaro,7
Santo Antônio,5
Soledade,2
São José,6
Sítio dos Pintos,1
Tamarineira,7
Tejipió,5
Torre,5
Torreão,4
Torrões,4
Totó,3
Vasco da Gama,5
Várzea,4
Zumbi,4
Água Fria,8
